recordingAlsoRecording	CALL(count)	lib\src\recording\recording_indicator.dart
recordingConsentEveryoneNotified	GETTER	lib\src\recording\recording_indicator.dart
recordingConsentLocalOnly	GETTER	lib\src\recording\recording_indicator.dart
recordingConsentMemberCount	CALL(memberCount)	lib\src\recording\recording_indicator.dart
recordingConsentPersistentNotice	GETTER	lib\src\recording\recording_indicator.dart
recordingConsentReconsider	GETTER	lib\src\recording\recording_indicator.dart
recordingConsentStart	GETTER	lib\src\recording\recording_indicator.dart
recordingConsentTitle	GETTER	lib\src\recording\recording_indicator.dart
recordingElapsedHours	CALL(hours)	lib\src\recording\recording_indicator.dart
recordingElapsedHoursMinutes	CALL(hours, minutes)	lib\src\recording\recording_indicator.dart
recordingElapsedMinutes	CALL(minutes)	lib\src\recording\recording_indicator.dart
recordingElapsedSeconds	CALL(seconds)	lib\src\recording\recording_indicator.dart
recordingListSeparator	GETTER	lib\src\recording\recording_indicator.dart
recordingNobodyRecording	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeAlreadyInProgress	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeArmingTimeout	CALL(seconds)	lib\src\recording\recording_indicator.dart
recordingNoticeCircleIdEmpty	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeDisconnected	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeGraceExpired	CALL(seconds)	lib\src\recording\recording_indicator.dart
recordingNoticeRemovedFromRoom	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeServerMarkedInactive	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeSignalingSilent	GETTER	lib\src\recording\recording_indicator.dart
recordingNoticeStateOutOfSync	GETTER	lib\src\recording\recording_indicator.dart
recordingSemanticsLabel	CALL(body)	lib\src\recording\recording_indicator.dart
recordingSeveralRecording	CALL(name, count)	lib\src\recording\recording_indicator.dart
recordingSomeoneRecording	CALL(name)	lib\src\recording\recording_indicator.dart
recordingStatusUnconfirmed	GETTER	lib\src\recording\recording_indicator.dart
recordingStop	GETTER	lib\src\recording\recording_indicator.dart
recordingYouAreRecording	GETTER	lib\src\recording\recording_indicator.dart
